"","REGION","EGEOLOC","q3_age","SUD_Type","StUD_Year","n","freq"
"295",3,34,"Adolescent","Cocaine",2015,6,0.0757002271006813
"296",3,35,"Adolescent","All",2009,7,0.0883169316174615
"297",3,35,"Adolescent","All",2010,3,0.0378501135503407
"298",3,35,"Adolescent","All",2011,5,0.0630835225839011
"299",3,35,"Adolescent","All",2012,4,0.0504668180671209
"300",3,35,"Adolescent","All",2013,2,0.0252334090335604
"301",3,35,"Adolescent","All",2014,2,0.0252334090335604
"302",3,35,"Adolescent","All",2015,5,0.0630835225839011
"303",3,35,"Adolescent","Cocaine",2009,17,0.214483976785264
"304",3,35,"Adolescent","Cocaine",2010,8,0.100933636134242
"305",3,35,"Adolescent","Cocaine",2011,6,0.0757002271006813
"306",3,35,"Adolescent","Cocaine",2012,4,0.0504668180671209
"307",3,35,"Adolescent","Cocaine",2013,5,0.0630835225839011
"308",3,35,"Adolescent","Cocaine",2014,7,0.0883169316174615
"309",3,35,"Adolescent","Cocaine",2015,1,0.0126167045167802
"310",3,36,"Adolescent","All",2009,3,0.0378501135503407
"311",3,36,"Adolescent","All",2010,3,0.0378501135503407
"312",3,36,"Adolescent","All",2011,10,0.126167045167802
"313",3,36,"Adolescent","All",2012,12,0.151400454201363
"314",3,36,"Adolescent","All",2013,3,0.0378501135503407
"315",3,36,"Adolescent","All",2014,8,0.100933636134242
"316",3,36,"Adolescent","All",2015,5,0.0630835225839011
"317",3,36,"Adolescent","Cocaine",2009,4,0.0504668180671209
"318",3,36,"Adolescent","Cocaine",2010,12,0.151400454201363
"319",3,36,"Adolescent","Cocaine",2011,24,0.302800908402725
"320",3,36,"Adolescent","Cocaine",2012,13,0.164017158718143
"321",3,36,"Adolescent","Cocaine",2013,7,0.0883169316174615
"322",3,36,"Adolescent","Cocaine",2014,14,0.176633863234923
"323",3,36,"Adolescent","Cocaine",2015,6,0.0757002271006813
"324",3,37,"Adolescent","All",2009,3,0.0378501135503407
"325",3,37,"Adolescent","All",2010,12,0.151400454201363
"326",3,37,"Adolescent","All",2011,19,0.239717385818824
"327",3,37,"Adolescent","All",2012,15,0.189250567751703
"328",3,37,"Adolescent","All",2013,20,0.252334090335604
"329",3,37,"Adolescent","All",2014,22,0.277567499369165
"330",3,37,"Adolescent","All",2015,22,0.277567499369165
"331",3,37,"Adolescent","Cocaine",2009,3,0.0378501135503407
"332",3,37,"Adolescent","Cocaine",2010,13,0.164017158718143
"333",3,37,"Adolescent","Cocaine",2011,14,0.176633863234923
"334",3,37,"Adolescent","Cocaine",2012,15,0.189250567751703
"335",3,37,"Adolescent","Cocaine",2013,12,0.151400454201363
"336",3,37,"Adolescent","Cocaine",2014,16,0.201867272268483
"337",3,37,"Adolescent","Cocaine",2015,16,0.201867272268483
"338",3,38,"Adolescent","All",2009,7,0.0883169316174615
"339",3,38,"Adolescent","All",2010,6,0.0757002271006813
"340",3,38,"Adolescent","All",2011,7,0.0883169316174615
"341",3,38,"Adolescent","All",2012,4,0.0504668180671209
"342",3,38,"Adolescent","All",2013,4,0.0504668180671209
"343",3,38,"Adolescent","All",2014,9,0.113550340651022
"344",3,38,"Adolescent","All",2015,3,0.0378501135503407
"345",3,38,"Adolescent","Cocaine",2009,2,0.0252334090335604
"346",3,38,"Adolescent","Cocaine",2010,4,0.0504668180671209
"347",3,38,"Adolescent","Cocaine",2011,3,0.0378501135503407
"348",3,38,"Adolescent","Cocaine",2012,3,0.0378501135503407
"349",3,38,"Adolescent","Cocaine",2013,4,0.0504668180671209
"350",3,38,"Adolescent","Cocaine",2014,6,0.0757002271006813
"351",3,38,"Adolescent","Cocaine",2015,3,0.0378501135503407
"352",3,39,"Adolescent","All",2009,2,0.0252334090335604
"353",3,39,"Adolescent","All",2010,3,0.0378501135503407
"354",3,39,"Adolescent","All",2011,9,0.113550340651022
"355",3,39,"Adolescent","All",2012,4,0.0504668180671209
"356",3,39,"Adolescent","All",2013,3,0.0378501135503407
"357",3,39,"Adolescent","All",2014,2,0.0252334090335604
"358",3,39,"Adolescent","Cocaine",2009,2,0.0252334090335604
"359",3,39,"Adolescent","Cocaine",2010,4,0.0504668180671209
"360",3,39,"Adolescent","Cocaine",2011,1,0.0126167045167802
"361",3,39,"Adolescent","Cocaine",2012,1,0.0126167045167802
"362",3,39,"Adolescent","Cocaine",2014,2,0.0252334090335604
"363",3,41,"Adolescent","All",2009,4,0.0504668180671209
"364",3,41,"Adolescent","All",2010,5,0.0630835225839011
"365",3,41,"Adolescent","All",2011,4,0.0504668180671209
"366",3,41,"Adolescent","All",2012,5,0.0630835225839011
"367",3,41,"Adolescent","All",2013,3,0.0378501135503407
"368",3,41,"Adolescent","All",2014,11,0.138783749684582
"369",3,41,"Adolescent","All",2015,4,0.0504668180671209
"370",3,41,"Adolescent","Cocaine",2009,4,0.0504668180671209
"371",3,41,"Adolescent","Cocaine",2010,4,0.0504668180671209
"372",3,41,"Adolescent","Cocaine",2011,6,0.0757002271006813
"373",3,41,"Adolescent","Cocaine",2012,4,0.0504668180671209
"374",3,41,"Adolescent","Cocaine",2013,1,0.0126167045167802
"375",3,41,"Adolescent","Cocaine",2014,2,0.0252334090335604
"376",3,41,"Adolescent","Cocaine",2015,2,0.0252334090335604
"377",3,42,"Adolescent","All",2009,5,0.0630835225839011
"378",3,42,"Adolescent","All",2010,6,0.0757002271006813
"379",3,42,"Adolescent","All",2011,5,0.0630835225839011
"380",3,42,"Adolescent","All",2012,7,0.0883169316174615
"381",3,42,"Adolescent","All",2013,6,0.0757002271006813
"382",3,42,"Adolescent","All",2014,6,0.0757002271006813
"383",3,42,"Adolescent","All",2015,3,0.0378501135503407
"384",3,42,"Adolescent","Cocaine",2009,6,0.0757002271006813
"385",3,42,"Adolescent","Cocaine",2010,5,0.0630835225839011
"386",3,42,"Adolescent","Cocaine",2011,10,0.126167045167802
"387",3,42,"Adolescent","Cocaine",2012,6,0.0757002271006813
"388",3,42,"Adolescent","Cocaine",2013,5,0.0630835225839011
"389",3,42,"Adolescent","Cocaine",2014,5,0.0630835225839011
"390",3,42,"Adolescent","Cocaine",2015,3,0.0378501135503407
"391",3,43,"Adolescent","All",2010,3,0.0378501135503407
"392",3,43,"Adolescent","All",2011,1,0.0126167045167802
"393",3,43,"Adolescent","All",2012,6,0.0757002271006813
"394",3,43,"Adolescent","All",2013,1,0.0126167045167802
"395",3,43,"Adolescent","All",2014,4,0.0504668180671209
"396",3,43,"Adolescent","All",2015,2,0.0252334090335604
"397",3,43,"Adolescent","Cocaine",2010,1,0.0126167045167802
"398",3,43,"Adolescent","Cocaine",2011,1,0.0126167045167802
"399",3,43,"Adolescent","Cocaine",2013,1,0.0126167045167802
"400",3,43,"Adolescent","Cocaine",2014,1,0.0126167045167802
"401",3,43,"Adolescent","Cocaine",2015,1,0.0126167045167802
"402",3,44,"Adolescent","All",2009,1,0.0126167045167802
"403",3,44,"Adolescent","All",2010,6,0.0757002271006813
